,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,Soma,Pares,Mahalanobis,Human_Score
Jogo_1,1,2,3,4,5,6,7,8,9,15,16,17,20,24,25,162,7,3.717804824695062,143.0
Jogo_2,5,6,8,11,14,16,17,18,19,20,21,22,23,24,25,249,8,4.725485277495151,154.0
Jogo_3,4,5,6,7,8,9,10,11,13,14,15,16,18,21,22,179,8,5.1149532132473805,145.0
Jogo_4,1,3,5,6,9,12,13,15,17,18,19,20,21,23,25,207,4,4.404322161777454,174.5
Jogo_5,1,2,4,6,8,10,14,15,16,18,19,20,21,22,25,201,10,4.336132945755255,102.5
Jogo_6,1,2,4,5,10,11,13,14,15,16,21,22,23,24,25,206,7,4.764709028877083,155.0
Jogo_7,1,2,3,4,5,6,7,8,9,10,12,13,17,19,20,136,7,5.290467472020357,158.5
Jogo_8,2,3,4,7,8,9,13,14,16,17,18,19,22,23,24,199,8,4.9253983837131665,94.5
Jogo_9,1,2,3,5,7,9,10,11,13,15,16,17,18,19,23,169,4,3.962920835236129,173.5
Jogo_10,2,3,4,5,6,8,11,12,13,14,15,16,17,18,24,168,9,4.02040391907759,143.5
Jogo_11,1,5,6,7,8,9,10,11,13,14,15,16,21,23,25,184,5,4.303367643789228,192.5
Jogo_12,1,6,9,10,11,12,13,14,15,16,17,18,20,23,24,209,8,3.6866234991906834,144.5
Jogo_13,4,5,6,7,10,11,12,14,15,16,17,18,19,20,22,196,9,5.3173258330472075,141.0
Jogo_14,1,2,3,4,5,6,8,10,12,14,15,18,21,24,25,168,9,4.543310273886568,135.5
Jogo_15,3,7,9,11,12,15,16,17,18,19,21,22,23,24,25,242,5,4.473316272654642,185.5
Jogo_16,4,5,6,7,8,10,13,15,16,17,21,22,23,24,25,216,7,4.432119322001277,84.5
Jogo_17,1,5,7,8,9,10,11,13,14,16,17,18,19,20,22,190,7,3.958193466450185,71.5
Jogo_18,1,2,4,6,7,8,10,12,13,14,20,22,23,24,25,191,10,4.020960536780417,169.5
Jogo_19,1,2,3,4,5,7,12,14,16,17,18,19,21,23,25,187,6,4.213819178021314,84.0
Jogo_20,1,4,5,11,12,14,15,17,18,19,20,21,23,24,25,229,6,4.391053532684816,165.5
Jogo_21,1,3,4,5,7,8,10,11,12,13,14,15,19,21,22,165,6,3.933517357306586,146.5
Jogo_22,6,7,8,10,12,13,15,16,17,18,20,21,22,24,25,234,9,5.153898220089447,164.0
Jogo_23,3,4,6,7,8,9,10,11,12,15,19,20,21,24,25,194,7,3.897476874490978,142.0
Jogo_24,2,3,4,6,7,8,9,10,12,15,16,17,18,19,20,166,9,5.045571938426098,140.0
Jogo_25,2,3,5,6,8,9,10,13,16,18,19,20,21,22,24,196,9,4.231682156503571,73.0
Jogo_26,1,2,3,6,7,9,11,12,13,14,16,21,22,24,25,186,7,3.749440877227083,151.0
Jogo_27,1,2,3,5,8,10,11,13,14,15,17,18,20,21,25,183,6,3.9464750327601497,153.0
Jogo_28,2,4,5,10,14,16,17,18,19,20,21,22,23,24,25,240,9,4.545056515611303,152.5
Jogo_29,2,3,5,7,11,12,13,16,17,18,19,20,21,23,24,211,6,4.5237992382485,149.0
Jogo_30,1,3,4,5,6,7,10,12,14,16,17,18,20,23,25,181,8,4.161168628572489,79.0
Jogo_31,4,6,7,9,10,12,14,16,17,18,19,20,23,24,25,224,9,4.322557119449231,139.5
Jogo_32,2,3,5,7,9,10,11,14,15,17,19,20,22,23,25,202,5,4.259434251273194,101.5
Jogo_33,1,2,3,4,5,6,7,10,12,15,16,17,18,19,21,156,7,4.746566140134152,148.0
Jogo_34,1,2,3,4,5,6,7,8,9,10,13,19,21,22,25,155,6,4.167609971284815,145.5
Jogo_35,2,3,4,5,6,11,12,17,18,20,21,22,23,24,25,213,8,4.470331894022794,140.0
Jogo_36,3,6,8,9,10,12,13,16,18,20,21,22,23,24,25,230,9,4.464243567785656,144.0
Jogo_37,1,2,3,4,5,11,12,13,14,16,17,18,20,22,23,181,8,4.386567903835397,155.0
Jogo_38,2,4,5,8,10,12,13,14,16,18,19,20,22,23,24,210,11,4.714612803474932,163.0
Jogo_39,5,6,7,9,10,11,12,13,14,15,17,18,20,24,25,206,7,4.245976897410326,201.5
Jogo_40,1,2,4,6,7,8,10,11,13,14,17,18,19,23,25,178,7,3.5834120560010625,134.5
Jogo_41,3,5,7,8,11,12,13,14,15,17,18,21,22,24,25,215,6,3.2317762482269967,159.0
Jogo_42,1,3,4,5,6,7,9,11,12,15,16,19,21,23,25,177,4,4.3796927129583905,166.5
Jogo_43,2,4,6,7,9,11,13,16,17,18,19,21,22,24,25,214,7,3.839614963513861,153.0
Jogo_44,1,4,5,8,9,10,12,13,14,15,18,19,20,24,25,197,8,4.980679229494593,140.5
Jogo_45,2,4,6,7,8,9,11,12,13,14,15,18,22,23,24,188,9,4.259175204800326,160.0
Jogo_46,1,5,7,8,10,14,15,17,18,19,20,21,23,24,25,227,6,3.935509251690873,144.5
Jogo_47,5,6,8,9,10,11,13,14,15,16,17,19,20,21,22,206,7,5.711827054794779,153.0
Jogo_48,3,4,6,7,8,15,16,17,18,19,20,21,22,24,25,225,8,3.913580738778131,134.5
Jogo_49,1,2,6,7,8,9,10,13,17,18,19,21,22,24,25,202,7,4.182831320566307,85.0
Jogo_50,1,2,3,4,5,8,10,15,17,18,20,21,23,24,25,196,7,3.841848991649158,94.0
