,D_1,D_2,D_3,D_4,D_5,D_6,Mahalanobis_D,Human_Score,Soma
Jogo_1,20,24,33,37,53,57,2.1804234067680164,10,224
Jogo_2,8,10,13,19,26,59,2.9943144095308805,26,135
Jogo_3,18,20,21,22,26,31,4.872103024093441,23,138
Jogo_4,32,33,43,44,45,52,5.039738166498145,6,249
Jogo_5,11,23,50,52,59,60,3.4797907977985605,9,255
Jogo_6,8,12,30,50,52,53,2.926033095888197,15,205
Jogo_7,13,36,41,42,43,56,4.09285818040262,9,231
Jogo_8,4,10,21,22,30,51,2.9638999217069073,25,138
Jogo_9,5,7,30,34,48,50,2.3289298473769557,14,174
Jogo_10,2,23,37,41,47,60,3.945919981931496,10,210
Jogo_11,8,21,31,34,46,57,3.4728424918535112,16,197
Jogo_12,7,10,11,12,18,45,3.9046728346734705,47,103
Jogo_13,2,3,8,16,22,40,4.057205016448708,28,91
Jogo_14,20,21,30,40,41,44,4.199904169669546,15,196
Jogo_15,2,3,25,27,48,57,2.619714824462984,19,162
Jogo_16,10,13,28,34,41,56,2.8537766760715266,13,182
Jogo_17,17,23,53,54,58,60,3.56168413647384,9,265
Jogo_18,29,37,43,46,53,54,4.185395975319613,7,262
Jogo_19,3,5,25,33,42,46,2.2083861581129427,18,154
Jogo_20,2,27,33,34,45,59,3.4864697404706724,10,200
Jogo_21,9,24,33,36,41,43,2.9557042905959294,10,186
Jogo_22,4,10,11,42,49,53,2.855989698016239,14,169
Jogo_23,7,9,48,50,51,54,3.759638706580345,10,219
Jogo_24,13,38,40,46,50,55,3.191553996470775,8,242
Jogo_25,6,20,27,49,50,58,3.0372017428750664,12,210
Jogo_26,3,17,24,26,48,49,2.7136211990443506,20,167
Jogo_27,22,33,34,37,47,55,3.412418266350763,11,228
Jogo_28,2,14,16,17,38,42,2.9065838929896413,20,129
Jogo_29,14,17,25,26,38,60,2.650481161942744,15,180
Jogo_30,7,10,13,29,39,55,2.9921855421830834,24,153
Jogo_31,5,14,21,23,41,60,2.7464357133690647,17,164
Jogo_32,7,11,24,36,39,51,2.1249028368653904,14,168
Jogo_33,29,30,38,46,47,49,4.178339670482423,8,239
Jogo_34,10,11,14,24,41,53,3.091441548437167,18,153
Jogo_35,17,19,27,41,47,57,3.7201574179782697,13,208
Jogo_36,2,11,12,21,42,48,2.2936992971384638,22,136
Jogo_37,11,21,33,54,55,60,3.0599334100705544,14,234
Jogo_38,8,9,16,21,38,40,3.055808784504185,21,132
Jogo_39,13,29,34,44,52,53,3.268946342451242,10,225
Jogo_40,4,29,32,40,41,42,3.560842872045786,12,188
Jogo_41,9,25,27,33,35,58,4.1692880988568035,14,187
Jogo_42,9,10,17,18,20,50,4.062071608883325,25,124
Jogo_43,16,20,32,35,41,58,2.6941334362266844,6,202
Jogo_44,12,26,31,43,55,59,2.3435465693625854,13,226
Jogo_45,2,12,31,33,39,41,3.2839459654612804,15,158
Jogo_46,1,4,18,27,38,57,3.1453549225418103,17,145
Jogo_47,1,6,10,32,47,49,3.525965066910331,12,145
Jogo_48,21,22,24,27,29,32,4.730449669127281,19,155
Jogo_49,1,4,27,43,54,56,1.711414912454252,12,185
Jogo_50,7,11,14,15,57,59,4.6178539536197984,20,163
