Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
1;28/05/2022;1;3;7;15;23;44;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
2;04/06/2022;13;16;35;41;42;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
3;11/06/2022;1;9;17;30;31;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
4;18/06/2022;6;23;25;33;34;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
5;25/06/2022;6;16;21;24;26;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
6;02/07/2022;1;19;22;32;39;45;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
7;09/07/2022;9;12;35;44;47;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
8;16/07/2022;1;4;5;16;38;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
9;23/07/2022;6;11;12;14;15;18;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
10;30/07/2022;4;6;10;42;47;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
11;06/08/2022;4;13;15;31;39;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
12;13/08/2022;6;20;24;26;31;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
13;20/08/2022;14;31;39;44;45;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
14;27/08/2022;12;13;42;46;48;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
15;03/09/2022;3;35;37;39;41;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
16;10/09/2022;3;11;13;23;33;47;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
17;17/09/2022;3;17;25;46;48;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
18;24/09/2022;10;18;20;39;42;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
19;01/10/2022;6;19;33;34;39;47;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
20;08/10/2022;4;8;10;11;22;25;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
21;15/10/2022;4;26;27;29;34;35;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
22;22/10/2022;5;22;28;46;47;48;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
23;29/10/2022;4;5;11;27;34;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
24;05/11/2022;22;29;31;32;36;45;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
25;12/11/2022;10;14;21;31;39;42;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
26;19/11/2022;5;12;26;31;34;50;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
27;26/11/2022;3;16;17;21;23;37;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
28;03/12/2022;2;7;29;40;41;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
29;10/12/2022;12;22;30;33;43;44;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
30;17/12/2022;2;24;31;39;46;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
31;24/12/2022;14;15;29;32;41;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
32;31/12/2022;12;23;30;36;45;46;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
33;07/01/2023;1;3;6;13;21;32;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
34;14/01/2023;3;6;8;36;49;50;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
35;21/01/2023;1;2;16;28;33;42;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
36;28/01/2023;2;8;9;15;28;32;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
37;04/02/2023;8;16;20;25;45;46;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
38;11/02/2023;7;14;15;16;18;23;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
39;18/02/2023;2;3;11;16;17;46;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
40;25/02/2023;2;12;22;30;33;48;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
41;04/03/2023;5;16;18;40;42;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
42;11/03/2023;2;9;14;25;33;44;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
43;18/03/2023;3;6;8;11;14;33;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
44;25/03/2023;1;9;12;29;32;36;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
45;01/04/2023;7;20;22;25;43;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
46;08/04/2023;2;11;16;17;29;46;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
47;15/04/2023;12;15;26;31;39;43;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
48;22/04/2023;10;36;38;39;46;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
49;29/04/2023;4;13;21;30;36;48;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
50;06/05/2023;12;21;24;26;35;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
51;13/05/2023;14;17;18;34;46;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
52;20/05/2023;24;29;31;36;49;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
53;27/05/2023;2;16;23;33;35;44;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
